year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2012,0.26745867218848635,0.15122808845318528,0.05573391575929396,0.07127087713416354,0.2195712460408481,0.05893743408125487,0.06123163098554127,0.05116152913311343,0.009322551449718624,0.012316844498515646,0.007647269496459826,0.0017094129481456156,0.005496725146426985,0.011199113954556134,0.004194312605281777,0.0025575447570332483,0.007703316041963896,0.0012595153260114898,0.0
2013,0.3025896466927704,0.1246743953462897,0.06247737010068019,0.04441972378574254,0.22104014764590674,0.058915967878258195,0.07532879315350512,0.027159247582394925,0.02150002174969348,0.009786899145335275,0.004583735668790504,0.002055938796520624,0.0061897768431770014,0.017540843639861598,0.008137960755815058,0.0035971223021582736,0.007197326971327821,0.0016060411743864982,0.0011990407673860913
2014,0.3370989015937846,0.09900768442667318,0.07876245564967826,0.05943756577052758,0.14910094315302544,0.06752517812402298,0.06765694084571378,0.02254084881504073,0.03442992910010845,0.02599554778093637,0.005142932035221021,0.002763985994303149,0.003619082755773403,0.015678196750240524,0.009554055151380109,0.009856903209826505,0.004328931221220207,0.004735931628220614,0.002763985994303149
2015,0.2708861839287848,0.11762668644816482,0.10202058679162684,0.08506170342786024,0.06736647967582336,0.0838744351371804,0.08221269399067853,0.02782847650930743,0.050782563710004475,0.03722267934001814,0.008478308814581203,0.002763985994303149,0.007930584992586844,0.01014231569568727,0.013458556981193142,0.020921910125455828,0.004328931221220207,0.004328931221220207,0.002763985994303149
2016,0.21373190735004774,0.13838546404147478,0.12950014160931114,0.10433858961122126,0.06082402133480388,0.07457725749467903,0.072417453260186,0.024563396265809917,0.05314375168270324,0.042338586614198793,0.009843370611297676,0.010966654628626461,0.011515409440720645,0.009785677928977561,0.009517094766349633,0.019034189532699263,0.008258095582039245,0.004839292163235825,0.0024196460816179126
2017,0.17445806988078771,0.17948972851721814,0.15972663948545693,0.10949801840621343,0.04314852390578532,0.07550295054185095,0.05920624154545317,0.017252167783806786,0.05378649704375846,0.029511624843575047,0.010433718252701655,0.021306471306471304,0.016723742774053977,0.009708827940155741,0.009363394788705993,0.01426250386312627,0.005872252747252747,0.0076617826617826615,0.0030868437118437117
2018,0.15741659318048207,0.21547661443494773,0.17066784809840363,0.10784168249446029,0.029283114005336227,0.07838446275946274,0.043180764708542485,0.01856699113643558,0.06358363858363858,0.02632275132275132,0.00937076041242708,0.02439289105955773,0.013248852484963597,0.008325702075702076,0.007946117668339891,0.004226303531859088,0.007929865915977026,0.010748202414869082,0.0030868437118437117
2019,0.1508406294616612,0.20441783194759386,0.1792671852691694,0.11359783110775175,0.023928151507516583,0.08591978458049886,0.040721319391954315,0.02092177920550936,0.06128117913832199,0.026095993953136814,0.014289651045603426,0.01839254220206601,0.012708123372805913,0.004209183673469388,0.013213865793230875,0.0065985344755186024,0.0062030213319895855,0.010399344923154447,0.006994047619047619
2020,0.14242982998981524,0.18679894405254316,0.1720809364404787,0.13319197243154424,0.021558912219672644,0.0768754132541508,0.03388779438982466,0.034795139372474186,0.06429463854713023,0.03087706559467357,0.018917653856745775,0.019010141656874768,0.01405912218020007,0.004509997201027102,0.01441179577023062,0.006303045081191999,0.0060552766348262845,0.008024781502079399,0.011917539824516566
2021,0.13021907643115638,0.15208937109160411,0.1743915348348658,0.15430780593353438,0.030194141255630278,0.0660982426409146,0.029199134874207038,0.04295812932052789,0.04744582251798634,0.04043990712472822,0.027974524935474778,0.028067012735603775,0.019287483510565043,0.008152984450571728,0.013332392140735916,0.008310061204783715,0.007640650715646631,0.00615269083217452,0.013739033449288882
2022,0.10989277972336152,0.14911293696494485,0.19815817616188372,0.17981313700579138,0.03459154491623492,0.043126876444006035,0.01913929431907381,0.04980178368771889,0.04039555255326693,0.037196432084282235,0.03099773995214047,0.03708208008059335,0.020531075503236036,0.00829722552809156,0.009120162836406733,0.009959087577510456,0.005194400009060271,0.005747256452118773,0.011842458200278102
2023,0.10491072593566839,0.1485352372899933,0.20868628034300452,0.18564099352299834,0.04204831916326115,0.0369622287983883,0.01886994326751948,0.0460801352811311,0.029287425430973735,0.039694469235546787,0.03397424856864004,0.03683957808153403,0.02095761504376282,0.009762475143657913,0.0074190635748247686,0.013149722600612734,0.006897145630763931,0.0032541583812193053,0.007030234706499442
